product_id,title,price,tags(semicolon),short_description,generated_at
p-144ca9cacc,Habit Tracker for Freelancers | Printable Template | Instant Download,10.99,habit tracker;daily tracker;routine planner;printable template;digital download;planner bundle;minimalist planner;instant download,Habit Tracker for Freelancers. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-b021c15666,Habit Tracker for Students | Printable Template | Instant Download,10.99,habit tracker;daily tracker;routine planner;printable template;digital download;planner bundle;minimalist planner;instant download,Habit Tracker for Students. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-10d0a2c3f0,Meal Planner for Couples | Printable Template | Instant Download,10.99,meal planner;grocery list;weekly meals;printable template;digital download;planner bundle;minimalist planner;instant download,Meal Planner for Couples. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-88bbef3206,Meal Planner for Families | Printable Template | Instant Download,10.99,meal planner;grocery list;weekly meals;printable template;digital download;planner bundle;minimalist planner;instant download,Meal Planner for Families. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-a34abdfcab,Meal Planner for Freelancers | Printable Template | Instant Download,10.99,meal planner;grocery list;weekly meals;printable template;digital download;planner bundle;minimalist planner;instant download,Meal Planner for Freelancers. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-b75e411eec,Meal Planner for Students | Printable Template | Instant Download,10.99,meal planner;grocery list;weekly meals;printable template;digital download;planner bundle;minimalist planner;instant download,Meal Planner for Students. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-b8608f7e49,Study Planner for Couples | Printable Template | Instant Download,10.99,study planner;student planner;learning tracker;printable template;digital download;planner bundle;minimalist planner;instant download,Study Planner for Couples. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-b09e948b38,Study Planner for Families | Printable Template | Instant Download,10.99,study planner;student planner;learning tracker;printable template;digital download;planner bundle;minimalist planner;instant download,Study Planner for Families. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-0365054518,Study Planner for Freelancers | Printable Template | Instant Download,10.99,study planner;student planner;learning tracker;printable template;digital download;planner bundle;minimalist planner;instant download,Study Planner for Freelancers. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-cfa9fd31f4,Study Planner for Students | Printable Template | Instant Download,10.99,study planner;student planner;learning tracker;printable template;digital download;planner bundle;minimalist planner;instant download,Study Planner for Students. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
